Councils,Link
ealing,https://www.ealing.gov.uk/info/201041/council_budgets_and_spending/338/statement_of_accounts/1
east cambridgeshire,https://www.eastcambs.gov.uk/finance/council-accounts
east devon,https://eastdevon.gov.uk/council-and-democracy/strategies-policies-and-performance/our-finance/financial-information-201920/
east dorset,https://www.dorsetcouncil.gov.uk/your-council/about-your-council/budgets-and-spending/annual-accounts/east-dorset-district-council-accounts.aspx
east hampshire,https://www.easthants.gov.uk/accounts
east hertfordshire,https://www.eastherts.gov.uk/about-east-herts-0/statement-accounts-budgets-and-annual-audit
east lindsey,https://www.e-lindsey.gov.uk/article/6224/Financial-Statements
east northamptonshire,https://www.east-northamptonshire.gov.uk/statementofaccounts
east riding of yorkshire,https://www.eastriding.gov.uk/council/governance-and-spending/budgets-and-spending/statement-of-accounts/
east staffordshire,http://www.eaststaffsbc.gov.uk/budgets-and-spending/statement-of-accounts
east sussex,https://www.eastsussex.gov.uk/yourcouncil/finance/spend/download/
east sussex fire,https://www.eastsussex.gov.uk/media/16786/escc-statement-of-accounts-2019-20-awaiting-audit-opinion.pdf
eastbourne,https://www.lewes-eastbourne.gov.uk/access-to-information/financial-information/statement-of-accounts/
eastleigh,https://www.eastleigh.gov.uk/council/general-public-information/transparency-code/council-spending/statement-of-accounts
eden,https://www.eden.gov.uk/your-council/council-business/council-finances/annual-statement-of-accounts/statement-of-accounts/
elmbridge,https://www.elmbridge.gov.uk/council/financial-performance-and-annual-accounts/
enfield,https://new.enfield.gov.uk/services/your-council/statement-of-accounts/
epping forest,https://www.eppingforestdc.gov.uk/wp-content/uploads/2020/08/Statement-of-Accounts-2019-2020.pdf
epsom and ewell,https://www.epsom-ewell.gov.uk/financialreports
erewash,https://erewash.gov.uk/councils-budget-and-spending/statement-of-accounts.html
essex,https://www.essex.gov.uk/spending-and-council-tax/finance-and-spending-breakdowns
essex fire auhtority,https://www.essex-fire.gov.uk/documents/Statement_of_Accounts/
exeter,https://exeter.gov.uk/council-and-democracy/finance/annual-accounts/
fareham,http://www.fareham.gov.uk/PDF/about_the_council/statoa1920.pdf
fenland,https://www.fenland.gov.uk/media/17002/Fenland-District-Council-2019-20-Statement-of-Accounts-Subject-to-Audit-/pdf/Fenland_District_Council_Statement_of_Accounts_2019-20_-_Subject_to_Audit.pdf?m=637304092233700000
forest heath,https://www.westsuffolk.gov.uk/Council/Finance_and_Statistics/statementofaccounts.cfm
forest of dean,https://www.fdean.gov.uk/media/c5pb0zni/statement-of-accounts-2018-to-2019.pdf
fylde,https://new.fylde.gov.uk/council/finance/statement-of-accounts/
gateshead,https://www.gateshead.gov.uk/article/3644/Statement-of-Accounts
gedling,https://www.gedling.gov.uk/council/aboutus/financeandaccounts/accountsandreports/
gloucester,https://www.gloucestershire.gov.uk/council-and-democracy/performance-and-spending/statement-of-accounts/
gloucestershire,https://www.gloucestershire.gov.uk/council-and-democracy/performance-and-spending/statement-of-accounts/
gosport,https://www.gosport.gov.uk/article/1444/Statement-of-Accounts
gravesham,https://www.gravesham.gov.uk/home/about-the-council/budgets-audits-and-accounts/statement-of-accounts
great yarmouth,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4428&p=0
greater london authority,https://www.london.gov.uk/about-us/governance-and-spending/spending-money-wisely/annual-accounts-and-governance-statement
greater manchester fire,https://www.manchesterfire.gov.uk/about-us/publication-scheme/financial-statements-archive/
greenwich,https://www.royalgreenwich.gov.uk/info/200167/budgets_and_spending/944/statement_of_accounts
guildford,https://www.guildford.gov.uk/article/18469/Annual-accounts
hackney,https://hackney.gov.uk/accounts
halton,https://www3.halton.gov.uk/Pages/councildemocracy/statement-of-accounts.aspx
hambleton,https://www.hambleton.gov.uk/downloads/download/19/statement-of-accounts
hammersmith and fulham,https://www.lbhf.gov.uk/councillors-and-democracy/about-hammersmith-fulham-council/statement-accounts
hampshire,https://www.hants.gov.uk/aboutthecouncil/budgetspendingandperformance/accounts
hampshire fire,https://www.hantsfire.gov.uk/how-were-performing/our-performance/budget-accounts-and-regulations/statement-of-accounts/
harborough,https://www.harborough.gov.uk/downloads/download/1119/statement_of_accounts_201920
haringey,https://www.haringey.gov.uk/local-democracy/performance-and-finance/statement-accounts
harlow,https://www.harlow.gov.uk/your-council/spending-and-performance/statement-accounts
harrogate,https://www.harrogate.gov.uk/performance-spending-plans/statement-accounts
harrow,https://www.harrow.gov.uk/council/statement-accounts
hart,https://www.hart.gov.uk/sites/default/files/1_Residents/Audited%20Statement%20of%20Accounts%202019-20.pdf
hartlepool,https://www.hartlepool.gov.uk/info/20032/access_to_information/491/statement_of_accounts/1
hastings,https://www.hastings.gov.uk/my-council/transparency/budgets/
havant,https://www.havant.gov.uk/budgets-and-spending/statement-accounts
havering,https://www.havering.gov.uk/downloads/download/654/statements_of_accounts
hereford & worcester fire,https://find-and-update.company-information.service.gov.uk/company/12090758
herefordshire,https://www.herefordshire.gov.uk/downloads/file/21055/draft-statement-of-accounts
hertfordshire,https://www.hertfordshire.gov.uk/media-library/documents/about-the-council/data-and-information/unaudited-statement-of-accounts-2019-20.pdf
hertsmere,https://www.hertsmere.gov.uk/Your-Council/Other-council-departments/Finance-and-Business-Services/Financial-Documents.aspx
high peak,https://www.highpeak.gov.uk/article/1281/Annual-statement-of-accounts
hillingdon,https://archive.hillingdon.gov.uk/accounts
hinckley and bosworth,https://www.hinckley-bosworth.gov.uk/downloads/download/259/statement_of_accounts
horsham,https://www.horsham.gov.uk/council-democracy-and-elections/finance-and-council-performance/statement-of-accounts
hounslow,https://www.hounslow.gov.uk/downloads/download/33/statement_of_accounts
humberside fire,https://humbersidefire.gov.uk/about-us/financial-information/accounts
huntingdonshire,https://www.cambridgeshire.gov.uk/council/finance-and-budget/statement-of-accounts
hyndburn,https://www.hyndburnbc.gov.uk/statement-of-accounts/
ipswich,https://www.ipswich.gov.uk/content/statement-accounts
isle of wight council,https://www.iow.gov.uk/council/OtherServices/Financial-Management/Accounts1
isles of scilly,https://www.scilly.gov.uk/council/council-finances/statement-accounts-annual-governance-statement-and-audit
islington,https://www.islington.gov.uk/about-the-council/funding-and-spending/statement-of-accounts
kensington and chelsea,https://www.rbkc.gov.uk/council-councillors-and-democracy/how-council-manages-money/council-spending-and-finances/council
kent,https://www.kent.gov.uk/about-the-council/finance-and-budget/statement-of-accounts
kent fire,https://www.kent.gov.uk/__data/assets/pdf_file/0004/93793/Statement-of-Accounts-2018-19.pdf
kettering,https://www.kettering.gov.uk/downloads/download/18/statement_of_accounts
king's lynn and west norfolk,https://www.west-norfolk.gov.uk/info/20160/budgets_and_spending/361/annual_accounts
kingston upon hull,http://www.hull.gov.uk/council-and-democracy/news-and-press-releases/statement-accounts
kingston upon thames,https://www.kingston.gov.uk/downloads/file/53/rbk-final-statement-of-accounts-2019-20
kirklees,https://www.kirklees.gov.uk/budget
knowsley,"https://www.knowsley.gov.uk/your-council/accounts,-budgets-and-finances"
lambeth,https://beta.lambeth.gov.uk/about-council/transparency-open-data/financial-information/statement-accounts
lancashire,http://www.lancashire.gov.uk/council/performance-inspections-reviews/corporate/statement-of-accounts/
lancashire fire,https://www.lancashire.gov.uk/media/911402/statement-of-accounts-2018-19.pdf
lancaster,https://www.lancaster.gov.uk/the-council-and-democracy/budgets-and-spending/statement-of-accounts
leeds,https://www.leeds.gov.uk/docs/Draft%20Statement%20of%20Accounts%202019-20.pdf
leicester,https://www.leicester.gov.uk/your-council/how-we-work/performance-and-spending/statement-of-accounts/
leicestershire,https://www.leicestershire.gov.uk/about-the-council/council-spending/payments-and-accounts/statement-of-accounts-and-senior-managers-pay
leicestershire fire,https://leics-fire.gov.uk/your-fire-service/what-we-spend/actual-expenditure/annual-statement-of-accounts-2018-2019/
lewes,https://www.lewes-eastbourne.gov.uk/access-to-information/financial-information/statement-of-accounts/
lewisham,https://lewisham.gov.uk/mayorandcouncil/aboutthecouncil/finances/statement-of-accounts
lichfield,https://www.lichfielddc.gov.uk/downloads/download/172/statements-of-accounts
lincoln,https://www.lincolnshire.gov.uk/finances-budgets/statement-accounts
lincolnshire,https://www.lincolnshire.gov.uk/finances-budgets/statement-accounts
liverpool,https://liverpool.gov.uk/council/budgets-and-finance/statement-of-accounts/
luton,https://www.luton.gov.uk/accounts
maidstone,https://www.maidstone.gov.uk/__data/assets/pdf_file/0005/280562/Audited-Annual-Accounts-2018-19.pdf
maldon,https://www.maldon.gov.uk/info/20070/finance/9268/the_councils_finances
malvern hills,https://www.malvernhills.gov.uk/about-your-council/your-local-council/finance-and-performance/audits-of-accounts
manchester,https://secure.manchester.gov.uk/info/200110/budgets_and_spending/864/annual_statement_of_accounts
mansfield,https://www.mansfield.gov.uk/finance/annual-statement-accounts/1
medway,https://www.medway.gov.uk/downloads/file/4041/statement_of_accounts_2018_to_2019
melton,http://www.melton.gov.uk/info/200110/budgets_spending_and_performance/534/statement_of_accounts
mendip,https://www.mendip.gov.uk/article/6971/Annual-Statement-of-Accounts
merseyside fire,https://www.merseyfire.gov.uk/about/finance-and-accounts/
merton,https://www.merton.gov.uk/council-and-local-democracy/finance/statement-of-accounts
mid devon,https://www.middevon.gov.uk/your-council/finance/annual-accounts/
mid suffolk,https://www.midsuffolk.gov.uk/the-council/finance/statements-of-accounts/
mid sussex,https://www.midsussex.gov.uk/media/4160/statement-of-accounts-2018-19.pdf
middlesbrough,https://www.middlesbrough.gov.uk/open-data-foi-and-have-your-say/open-data-and-policies/annual-report-and-statement-accounts
milton keynes,https://www.milton-keynes.gov.uk/your-council-and-elections/council-information-and-accounts/data-performance-and-spending/statement-of-accounts-and-annual-audit-and-inspection-letter
mole valley,https://www.molevalley.gov.uk/home/council/finances/statement-accounts
new forest,https://www.newforest.gov.uk/article/1088/Annual-budgets-and-financial-report
newark and sherwood,https://www.newark-sherwooddc.gov.uk/finance/statementofaccounts/
newcastle upon tyne,https://www.newcastle.gov.uk/local-government/budget-and-spending/annual-report-and-accounts
newcastle-under-lyme,https://www.newcastle-staffs.gov.uk/all-services/your-council/accounts/statement-accounts
newham,https://www.newham.gov.uk/council/annual-accounts
norfolk,https://www.norfolk.gov.uk/what-we-do-and-how-we-work/our-budget-and-council-tax/statement-of-accounts
north devon,https://www.northdevon.gov.uk/council/performance-and-spending/budgets-and-spending/statement-of-accounts/
north dorset,https://www.dorsetcouncil.gov.uk/your-council/about-your-council/budgets-and-spending/annual-accounts.aspx
north east derbyshire,https://www.ne-derbyshire.gov.uk/about-the-council/budgets-and-spending/annual-accounts
north east lincolnshire,https://www.nelincs.gov.uk/your-council/finances-spending-and-contracts/annual-accounts/
north hertfordshire,https://www.north-herts.gov.uk/home/council-data-and-performance/budgets-and-spending/statement-accounts
north kesteven,https://www.n-kesteven.gov.uk/your-council/facts-and-figures-about-the-council/council-spending/statement-of-accounts/
north lincolnshire,https://www.northlincs.gov.uk/your-council/statement-of-accounts/
north norfolk,https://www.north-norfolk.gov.uk/tasks/finance/view-the-councils-statement-of-accounts/
north somerset,https://www.n-somerset.gov.uk/sites/default/files/2020-07/statement%20of%20accounts%202019-20.pdf
north tyneside,https://my.northtyneside.gov.uk/category/455/council-finances
north warwickshire,https://www.northwarks.gov.uk/downloads/download/1182/financial_information_downloads
north west leicestershire,https://www.nwleics.gov.uk/pages/annual_accounts_and_governance_reports
north yorkshire,https://www.northyorks.gov.uk/financial-information
north yorkshire fire,https://www.northyorksfire.gov.uk/about-us/financial-information/accounts
northampton,https://www.northampton.gov.uk/statementofaccounts
northamptonshire,https://www.northamptonshire.gov.uk/councilservices/council-and-democracy/budgets-and-spending/Pages/statement-of-accounts.aspx
